word,lemma,persistence,speaker,interaction_id,turn_id,merged,participant_id,setting,start,end,persistence_lemma
aus,aus,,S,1,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Tut,Tut,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
mir,mir,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,PER_FPP: mir
leid,leid,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
das,der,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
habe,haben,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
ich,ich,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
nicht,nicht,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
verstanden,verstehen,,A,1,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
Alexa,Alexa,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
wie,wie,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
sehen,sehen,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
meine,mein,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Termine,Termin,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,PER_SPP: Termin
am,an,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
dreizehnten,dreizehnter,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Dezember,Dezember,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,PER_SPP: Dezember
aus,aus,,S,1,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Am,an,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
dreizehnten,dreizehnter,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
Dezember,Dezember,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,PER_FPP: Dezember
hast,haben,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
du,du,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
keinen,kein,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
Eintrag,Eintrag,,A,1,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,PER_FPP: Eintrag
Alexa,Alexa,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
bitte,bitte,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
erstelle,erstellen,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
mir,mir,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: mir
einen,ein,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Eintrag,Eintrag,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: Eintrag
um,um,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
neun,neun,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Uhr,Uhr,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
am,an,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
dreizehnten,dreizehnter,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Dezember,Dezember,,S,1,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: Dezember
Klar,Klar,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
und,und,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
wie,wie,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
soll,sollen,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
der,der,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
Termin,Termin,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
heißen,heißen,,A,1,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
Lerngruppe,Lerngruppe,,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
mit,mit,,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
Peter,Peter,,S,1,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
Alles,Alles,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
klar,klar,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
dein,der,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Termin,Termin,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
am,an,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
dreizehnten,dreizehnter,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Dezember,Dezember,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
um,um,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
neun,neun,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Uhr,Uhr,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
namens,namens,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Lerngruppe,Lerngruppe,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
mit,mit,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Peter,Peter,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
ist,sein,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
eingetragen,eintragen,,A,1,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Hallo,Hallo,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
wie,wie,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
sieht,sehen,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
mein,mein,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
Kalender,Kalender,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
am,an,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
zwölften,zwölf,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
zwölften,zwölf,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
aus,aus,,S,2,1,no,Dummy_participant_1,Calendar,0.0,7.3245324,
Die,der,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Termine,Termin,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,PER_FPP: Termin
am,an,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Montag,Montag,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
den,der,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
zwölften,zwölf,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Dezember,Dezember,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,PER_FPP: Dezember
sehen,sehen,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
wie,wie,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
folgt,folgen,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
aus,aus,,A,2,2,no,Dummy_participant_1,Calendar,8.3748653,12.348745,
Und,und,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
wie,wie,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
sehen,sehen,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
meine,mein,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Termine,Termin,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Termin
am,an,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
dreizehnten,dreizehnter,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
zwölften,zwölf,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
aus,aus,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Alexa,Alexa,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
wie,wie,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
sehen,sehen,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
meine,mein,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Termine,Termin,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Termin
am,an,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
dreizehnten,dreizehnter,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Dezember,Dezember,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,PER_SPP: Dezember
aus,aus,,S,2,3,yes,Dummy_participant_1,Calendar,15.945894,32.837438,
Tut,Tut,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
mir,mir,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,PER_FPP: mir
leid,leid,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
das,der,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
habe,haben,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
ich,ich,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
nicht,nicht,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
verstanden,verstehen,,A,2,4,no,Dummy_participant_1,Calendar,35.837458,44.283473,
Alexa,Alexa,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
wie,wie,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
sehen,sehen,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
meine,mein,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Termine,Termin,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,PER_SPP: Termin
am,an,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
dreizehnten,dreizehnter,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Dezember,Dezember,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,PER_SPP: Dezember
aus,aus,,S,2,5,no,Dummy_participant_1,Calendar,46.287383,56.343434,
Am,an,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
dreizehnten,dreizehnter,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
Dezember,Dezember,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,PER_FPP: Dezember
hast,haben,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
du,du,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
keinen,kein,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,
Eintrag,Eintrag,,A,2,6,no,Dummy_participant_1,Calendar,57.568956,68.349849,PER_FPP: Eintrag
Alexa,Alexa,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
bitte,bitte,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
erstelle,erstelle,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
mir,mir,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: mir
einen,ein,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Eintrag,Eintrag,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: Eintrag
um,um,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
neun,neun,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Uhr,Uhr,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
am,an,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
dreizehnten,dreizehnter,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,
Dezember,Dezember,,S,2,7,no,Dummy_participant_1,Calendar,69.344344,72.239833,PER_SPP: Dezember
Klar,Klar,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
und,und,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
wie,wie,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
soll,sollen,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
der,der,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
Termin,Termin,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
heißen,heißen,,A,2,8,no,Dummy_participant_1,Calendar,74.454543,82.343443,
Lerngruppe,Lerngruppe,,S,2,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
mit,mit,,S,2,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
Peter,Peter,,S,2,9,no,Dummy_participant_1,Calendar,83.232353,85.123232,
Alles,Alles,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
klar,klar,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
dein,der,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Termin,Termin,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
am,an,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
dreizehnten,dreizehnter,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Dezember,Dezember,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
um,um,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
neun,neun,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Uhr,Uhr,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
namens,namens,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Lerngruppe,Lerngruppe,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
mit,mit,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Peter,Peter,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
ist,sein,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
eingetragen,eintragen,,A,2,10,no,Dummy_participant_1,Calendar,87.353452,99.394834,
Hallo,Hallo,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
wie,wie,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
sieht,sehen,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
mein,mein,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
Kalender,Kalender,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
am,an,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
zwölften,zwölf,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
zwölften,zwölf,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
aus,aus,,S,3,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
Die,der,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Termine,Termin,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,PER_FPP: Termin
am,an,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Montag,Montag,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
den,der,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
zwölften,zwölf,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Dezember,Dezember,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,PER_FPP: Dezember
sehen,sehen,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
wie,wie,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
folgt,folgen,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
aus,aus,,A,3,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Und,und,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
wie,wie,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
sehen,sehen,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
meine,mein,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
Termine,Termin,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,PER_SPP: Termin
am,an,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
dreizehnten,dreizehnter,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
zwölften,zwölf,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
aus,aus,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
Alexa,Alexa,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
wie,wie,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
sehen,sehen,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
meine,mein,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
Termine,Termin,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,PER_SPP: Termin
am,an,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
dreizehnten,dreizehnter,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
Dezember,Dezember,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,PER_SPP: Dezember
aus,aus,,S,3,3,yes,Dummy_participant_1,Quiz,15.945894,32.837438,
Tut,Tut,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
mir,mir,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,PER_FPP: mir
leid,leid,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
das,der,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
habe,haben,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
ich,ich,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
nicht,nicht,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
verstanden,verstehen,,A,3,4,no,Dummy_participant_1,Quiz,35.837458,44.283473,
Alexa,Alexa,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
wie,wie,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
sehen,sehen,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
meine,mein,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
Termine,Termin,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,PER_SPP: Termin
am,an,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
dreizehnten,dreizehnter,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
Dezember,Dezember,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,PER_SPP: Dezember
aus,aus,,S,3,5,no,Dummy_participant_1,Quiz,46.287383,56.343434,
Am,an,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,
dreizehnten,dreizehnter,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,
Dezember,Dezember,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,PER_FPP: Dezember
hast,haben,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,
du,du,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,
keinen,kein,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,
Eintrag,Eintrag,,A,3,6,no,Dummy_participant_1,Quiz,57.568956,68.349849,PER_FPP: Eintrag
Alexa,Alexa,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
bitte,bitte,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
erstelle,erstelle,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
mir,mir,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,PER_SPP: mir
einen,ein,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
Eintrag,Eintrag,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,PER_SPP: Eintrag
um,um,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
neun,neun,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
Uhr,Uhr,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
am,an,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
dreizehnten,dreizehnter,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,
Dezember,Dezember,,S,3,7,no,Dummy_participant_1,Quiz,69.344344,72.239833,PER_SPP: Dezember
Klar,Klar,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
und,und,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
wie,wie,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
soll,sollen,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
der,der,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
Termin,Termin,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
heißen,heißen,,A,3,8,no,Dummy_participant_1,Quiz,74.454543,82.343443,
Lerngruppe,Lerngruppe,,S,3,9,no,Dummy_participant_1,Quiz,83.232353,85.123232,
mit,mit,,S,3,9,no,Dummy_participant_1,Quiz,83.232353,85.123232,
Peter,Peter,,S,3,9,no,Dummy_participant_1,Quiz,83.232353,85.123232,
Alles,Alles,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
klar,klar,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
dein,der,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Termin,Termin,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
am,an,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
dreizehnten,dreizehnter,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Dezember,Dezember,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
um,um,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
neun,neun,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Uhr,Uhr,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
namens,namens,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Lerngruppe,Lerngruppe,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
mit,mit,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Peter,Peter,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
ist,sein,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
eingetragen,eintragen,,A,3,10,no,Dummy_participant_1,Quiz,87.353452,99.394834,
Hallo,Hallo,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
wie,wie,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
sieht,sehen,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
mein,mein,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
Kalender,Kalender,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
am,an,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
zwölften,zwölf,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
zwölften,zwölf,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
aus,aus,,S,4,1,no,Dummy_participant_1,Quiz,0.0,7.3245324,
Die,der,,A,4,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Termine,Termin,,A,4,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,PER_FPP: Termin
am,an,,A,4,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
Montag,Montag,,A,4,2,no,Dummy_participant_1,Quiz,8.3748653,12.348745,
